slice,n,n_pos,mean_score,min_score,max_score
src:pure_numerical,6,6,0.9999443726027231,0.9998170784894489,0.9999973123998763
src:wp_mult_direct,6,6,0.8909257602364486,0.41648390757493037,0.9999992127121645
src:wp_mult_indirect,0,0,,,
src:wp_add,12,0,0.033467913544571785,1.9419073180995696e-06,0.2572138100078992
src:wp_sub,12,0,0.0006550857942113523,1.8589467645348035e-05,0.0031766210237050814
mult_d3,4,4,0.9821902197910312,0.9358050980873998,0.9998696271131421
mult_d4,4,4,0.9999966097130855,0.9999918342788208,0.9999992127121645
mult_d5,4,4,0.8541183697546408,0.41648390757493037,0.9999991881085825
add_d3,4,0,0.006751968928272723,1.9419073180995696e-06,0.02627114032879619
add_d4,4,0,0.0021643434842039413,6.83922570443009e-06,0.008153699427724948
add_d5,4,0,0.09148742822123868,0.0001735690835210148,0.2572138100078992
sub_d3,4,0,0.0015480214636864375,1.8589467645348035e-05,0.0031766210237050814
sub_d4,4,0,0.0002735377065036311,2.056170682274689e-05,0.0006264365145746614
sub_d5,4,0,0.00014369821244398855,2.2890810420589313e-05,0.00045835050397332016
mult_uses_op_keyword=False,6,6,0.8909257602364486,0.41648390757493037,0.9999992127121645
mult_uses_op_keyword=True,6,6,0.9999443726027231,0.9998170784894489,0.9999973123998763
non_mult_uses_op_keyword=False,13,0,0.0214396890643501,1.9419073180995696e-06,0.2572138100078992
non_mult_uses_op_keyword=True,11,0,0.011887275838986022,6.83922570443009e-06,0.10315713834515108
